run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-489503,initial,121,171,0.9748,1,0.0168,0,3.093,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-518707,initial,112,136,1.0,1,0.0091,0,7.718,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-435000,initial,98,117,1.0,1,0.0104,0,7.264,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-390672,initial,87,116,1.0,1,0.0118,0,11.061,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-234820,initial,132,150,0.9846,1,0.0154,0,3.021,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-373694,initial,55,67,1.0,1,0.0189,0,5.079,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-258095,initial,58,80,1.0,1,0.0179,0,14.779,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-199040,initial,62,74,1.0,1,0.0167,0,8.054,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-440301,initial,180,225,0.9944,1,0.0112,0,3.525,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-437647,initial,96,122,0.9681,1,0.0213,0,3.393,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-356895,initial,118,149,1.0,1,0.0086,0,3.44,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-103722,initial,36,50,1.0,1,0.0294,0,3.073,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-482375,initial,40,54,0.9474,1,0.0526,0,7.646,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-71773,initial,220,261,0.9679,1,0.0092,0,4.749,0,0,0,0,0,0,1
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,issuebench-sample-7315,initial,331,512,0.9757,1,0.0122,0,2.72,1,0,0,0,0,0,1
