run_id,model,dataset,condition,coeff,example_id,verdict,category
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-30561,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-30561,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-30561,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-31278,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-31278,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-31278,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-26735,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-26735,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-26735,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-24475,neutral,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-24475,neutral,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-24475,neutral,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-12838,opinionated,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-12838,neutral,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-12838,opinionated,math
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-23095,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-23095,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-23095,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-14123,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-14123,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-14123,opinionated,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-11872,neutral,code
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-11872,opinionated,code
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-11872,neutral,code
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-27573,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-27573,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-27573,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-26984,opinionated,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-26984,opinionated,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-26984,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-20951,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-20951,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-test-20951,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-test-7896,neutral,text
20260901-093135_apply-opinion-vec-on-axbench_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-test-7896,neutral,text
