run_id,model,dataset,condition,coeff,example_id,verdict,category
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-131,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-131,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-131,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-181,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-181,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-181,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-22,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-22,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-22,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-172,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-172,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-172,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-144,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-144,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-144,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-92,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-92,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-92,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-97,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-97,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-97,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-187,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-187,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-187,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-58,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-58,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-58,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-93,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,20.0,log_103_comparison_200-93,opinionated,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-20.0,log_103_comparison_200-93,neutral,
20260903-020329_adaptive-add-linear-c20-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-6,opinionated,
