run_id,model,dataset,condition,coeff,example_id,verdict,category
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-100,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-100,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-100,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-101,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-101,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-101,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-102,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-102,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-102,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-103,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-103,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-103,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-104,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-104,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-104,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-105,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-105,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-105,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-106,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-106,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-106,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-107,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-107,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-107,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-108,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-108,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_neg,-10,log_103_comparison_200-108,neutral,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,initial,0,log_103_comparison_200-109,opinionated,
20260809-013730_sweep-qwen18-c10_qwen-1.8b,qwen-1.8b,snapshot,steered_pos,10,log_103_comparison_200-109,opinionated,
