run_id,model,dataset,condition,coeff,example_id,verdict,category
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-25271,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-25271,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-25271,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-30228,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-30228,opinionated,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-30228,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-32582,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-32582,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-32582,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-16298,opinionated,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-16298,opinionated,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-16298,opinionated,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-27428,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-27428,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-27428,neutral,code
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-2762,opinionated,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-2762,opinionated,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-2762,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-20947,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-20947,opinionated,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-20947,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-24165,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-24165,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-24165,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-22388,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-22388,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_neg,-8.0,axbench-2b-l20-train-22388,neutral,text
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,initial,0,axbench-2b-l20-train-16378,neutral,math
20260901-085117_extract-axbench-opinion_qwen3-8b,qwen3-8b,axbench,steered_pos,8.0,axbench-2b-l20-train-16378,opinionated,math
