run_id,model,dataset,condition,coeff,example_id,verdict,category
MERGED,qwen3-8b,plain,prompt_pos,0,plain-754,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-754,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-783,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-783,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-668,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-668,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-599,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-599,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-320,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-320,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-543,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-543,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-352,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-352,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-290,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-290,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-698,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-698,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-671,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-671,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-503,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-503,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-128,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-128,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-743,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-743,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-109,opinionated,
MERGED,qwen3-8b,plain,prompt_neg,0,plain-109,neutral,
MERGED,qwen3-8b,plain,prompt_pos,0,plain-6,opinionated,
