example_id,dataset,prompt,category,metadata_json
log_103_comparison_200-131,snapshot,"Which is better for advancement, progress or regression?",,{}
log_103_comparison_200-181,snapshot,Which is more exciting: amusement parks or water parks?,,{}
log_103_comparison_200-22,snapshot,Which is more enjoyable: summer or winter?,,{}
log_103_comparison_200-172,snapshot,Which do you prefer: writing with pen or typing on a keyboard?,,{}
log_103_comparison_200-144,snapshot,Which is more fun: roller coasters or water slides?,,{}
log_103_comparison_200-92,snapshot,"Which is better for writing, a functioning pen or a dried-up pen?",,{}
log_103_comparison_200-97,snapshot,Which is more exciting: traveling by plane or by train?,,{}
log_103_comparison_200-187,snapshot,"Which is better for happiness, friendship or loneliness?",,{}
log_103_comparison_200-58,snapshot,"Which is better for morale, winning or losing?",,{}
log_103_comparison_200-93,snapshot,Which is more exciting: road trips or flights?,,{}
log_103_comparison_200-6,snapshot,"Which is better for clarity, clear instructions or confusion?",,{}
log_103_comparison_200-70,snapshot,Which is more relaxing: reading poetry or listening to it?,,{}
log_103_comparison_200-106,snapshot,Which do you prefer: city life or countryside?,,{}
log_103_comparison_200-68,snapshot,Which is more fun: visiting the zoo or the aquarium?,,{}
log_103_comparison_200-153,snapshot,"Which is better for travel, a full gas tank or an empty one?",,{}
log_103_comparison_200-168,snapshot,Which do you prefer: pizza or pasta?,,{}
log_103_comparison_200-179,snapshot,Which do you like more: chocolate or vanilla?,,{}
log_103_comparison_200-199,snapshot,"Which is better for existence, life or death?",,{}
log_103_comparison_200-29,snapshot,Which is more fun: board games or video games?,,{}
log_103_comparison_200-46,snapshot,"Which is better for winter, a warm shower or a cold one?",,{}
log_103_comparison_200-9,snapshot,Which is more fun: group projects or solo projects?,,{}
log_103_comparison_200-142,snapshot,Which do you like more: rain or snow?,,{}
log_103_comparison_200-134,snapshot,Which is more relaxing: painting quietly or painting with music?,,{}
log_103_comparison_200-88,snapshot,Which is more enjoyable: planning a trip or taking the trip?,,{}
log_103_comparison_200-193,snapshot,"Which is better for learning, a correct answer or a wrong one?",,{}
log_103_comparison_200-110,snapshot,Which do you prefer: breakfast or dinner?,,{}
log_103_comparison_200-26,snapshot,Which is more relaxing: lying on the grass or lying on the sand?,,{}
log_103_comparison_200-32,snapshot,Which do you like more: cats or dogs?,,{}
log_103_comparison_200-117,snapshot,"Which is better for hearing, sound or deafness?",,{}
log_103_comparison_200-112,snapshot,Which do you like more: jeans or shorts?,,{}
log_103_comparison_200-17,snapshot,"Which is better for patience, calmness or impatience?",,{}
log_103_comparison_200-39,snapshot,Which is more enjoyable: concerts or plays?,,{}
log_103_comparison_200-166,snapshot,Which is more fun: comedy shows or magic shows?,,{}
log_103_comparison_200-13,snapshot,"Which is better for security, having a safety net or none?",,{}
log_103_comparison_200-94,snapshot,Which is more enjoyable: cooking for yourself or cooking for others?,,{}
log_103_comparison_200-138,snapshot,Which is more relaxing: silence or soft background music?,,{}
log_103_comparison_200-109,snapshot,Which is more fun: swimming or hiking?,,{}
log_103_comparison_200-147,snapshot,Which do you prefer: mornings at home or evenings out?,,{}
log_103_comparison_200-51,snapshot,"Which is better for emergencies, timely help or neglect?",,{}
log_103_comparison_200-101,snapshot,Which is more exciting: concerts or sports events?,,{}
log_103_comparison_200-59,snapshot,Which is more refreshing: smoothies or milkshakes?,,{}
log_103_comparison_200-188,snapshot,"Which is better for community, generosity or greed?",,{}
log_103_comparison_200-116,snapshot,Which is more relaxing: nature walks or city strolls?,,{}
log_103_comparison_200-5,snapshot,Which is more rewarding: cooking at home or eating out?,,{}
log_103_comparison_200-170,snapshot,Which is more enjoyable: roller skating or biking?,,{}
log_103_comparison_200-99,snapshot,"Which is better for work, efficiency or inefficiency?",,{}
log_103_comparison_200-100,snapshot,"Which is better for buildings, a working elevator or a broken one?",,{}
log_103_comparison_200-167,snapshot,"Which is better for the heart, love or hate?",,{}
log_103_comparison_200-180,snapshot,Which is more relaxing: listening to music or watching a movie?,,{}
log_103_comparison_200-146,snapshot,"Which is better for safety, a strong bridge or a collapsing one?",,{}
log_103_comparison_200-65,snapshot,Which is more exciting: action movies or thrillers?,,{}
log_103_comparison_200-1,snapshot,Which is more fun: indoor activities or outdoor activities?,,{}
log_103_comparison_200-104,snapshot,Which is more exciting: birthdays or holidays?,,{}
log_103_comparison_200-43,snapshot,Which is more inspiring: art museums or science museums?,,{}
log_103_comparison_200-38,snapshot,"Which is better for relationships, respect or disrespect?",,{}
log_103_comparison_200-184,snapshot,"Which is better for shade, a tree or scorching sun?",,{}
log_103_comparison_200-123,snapshot,Which is more fun: chess or checkers?,,{}
log_103_comparison_200-171,snapshot,Which is more exciting: parades or carnivals?,,{}
log_103_comparison_200-137,snapshot,"Which is better for rain, having an umbrella or none?",,{}
log_103_comparison_200-162,snapshot,"Which is better for health, a clean hospital or a dirty one?",,{}
log_103_comparison_200-71,snapshot,"Which is better for browsing, fast internet or slow internet?",,{}
log_103_comparison_200-44,snapshot,Which do you prefer: shopping online or in stores?,,{}
log_103_comparison_200-95,snapshot,Which do you prefer: sweet or savory food?,,{}
log_103_comparison_200-174,snapshot,Which do you prefer: apples or oranges?,,{}
log_103_comparison_200-12,snapshot,Which is more fun: building with Legos or doing puzzles?,,{}
log_103_comparison_200-7,snapshot,Which is more creative: acting or singing?,,{}
log_103_comparison_200-54,snapshot,"Which is better for focus, a quiet environment or constant noise?",,{}
log_103_comparison_200-152,snapshot,Which is more relaxing: a massage or a nap?,,{}
log_103_comparison_200-21,snapshot,"Which is better for warmth, a home or freezing outdoors?",,{}
log_103_comparison_200-47,snapshot,"Which is better for trust, an honest friend or a fake one?",,{}
log_103_comparison_200-28,snapshot,"Which is better for communication, a functioning phone or a broken phone?",,{}
log_103_comparison_200-176,snapshot,"Which is better for recovery, taking medicine or leaving a disease untreated?",,{}
log_103_comparison_200-34,snapshot,"Which is better for health, proper sleep or sleep deprivation?",,{}
log_103_comparison_200-2,snapshot,Which is more fun: going to the park or the beach?,,{}
log_103_comparison_200-132,snapshot,"Which is better for security, a strong password or a weak one?",,{}
log_103_comparison_200-118,snapshot,Which do you prefer: early mornings or late nights?,,{}
log_103_comparison_200-42,snapshot,Which is more refreshing: lemonade or iced tea?,,{}
log_103_comparison_200-189,snapshot,Which is more enjoyable: fast food or homemade food?,,{}
log_103_comparison_200-150,snapshot,"Which is better for seeing, light or darkness?",,{}
log_103_comparison_200-14,snapshot,Which do you prefer: short books or long books?,,{}
log_103_comparison_200-165,snapshot,"Which is better for health, sleep or insomnia?",,{}
log_103_comparison_200-41,snapshot,Which is more fun: karaoke or trivia nights?,,{}
log_103_comparison_200-192,snapshot,"Which is better for democracy, freedom of speech or censorship?",,{}
log_103_comparison_200-45,snapshot,Which is more enjoyable: rainy days or sunny days?,,{}
log_103_comparison_200-82,snapshot,"Which is better for health, a balanced diet or a junk food diet?",,{}
log_103_comparison_200-128,snapshot,Which do you prefer: watching movies or TV shows?,,{}
log_103_comparison_200-63,snapshot,"Which is better for a phone, a full battery or a dead battery?",,{}
log_103_comparison_200-57,snapshot,Which is more creative: drawing or photography?,,{}
log_103_comparison_200-197,snapshot,Which do you like more: spicy food or mild food?,,{}
log_103_comparison_200-160,snapshot,"Which is better for comfort, rest or exhaustion?",,{}
log_103_comparison_200-53,snapshot,"Which is better for humanity, peace or war?",,{}
log_103_comparison_200-75,snapshot,"Which is better for prosperity, a healthy economy or a collapsed one?",,{}
log_103_comparison_200-108,snapshot,Which is more fun: traveling with friends or traveling alone?,,{}
log_103_comparison_200-135,snapshot,"Which is better for farming, healthy crops or a failed harvest?",,{}
log_103_comparison_200-121,snapshot,"Which is better for eating, fresh bread or stale bread?",,{}
log_103_comparison_200-159,snapshot,"Which is better for communication, having internet or having none?",,{}
log_103_comparison_200-183,snapshot,"Which is better for timing, a reliable clock or a broken one?",,{}
log_103_comparison_200-67,snapshot,Which is more relaxing: a beach or a mountain?,,{}
