run_id,model,dataset,condition,coeff,example_id,verdict,category
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-754,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-754,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-754,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-783,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-783,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-783,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-668,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-668,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-668,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-599,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-599,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-599,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-320,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-320,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-320,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-543,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-543,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-543,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-352,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-352,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-352,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-290,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-290,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-290,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-698,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-698,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-698,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-671,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-671,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-671,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-503,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-503,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-503,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-128,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-128,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-128,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-743,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-743,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-743,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-109,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-109,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-109,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-6,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-6,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-6,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-559,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-559,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-559,neutral,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,initial,0,plain-674,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_pos,8.0,plain-674,opinionated,
20260903-110706_prompt-baseline-opinion_qwen3-8b,qwen3-8b,plain,steered_neg,-8.0,plain-674,opinionated,
