run_id,model,dataset,condition,coeff,example_id,verdict,category
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-489503,neutral,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-489503,opinionated,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-489503,neutral,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-sample-489503,opinionated,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-sample-489503,neutral,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-518707,opinionated,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-518707,opinionated,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-518707,neutral,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-sample-518707,opinionated,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-sample-518707,neutral,pro
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-435000,neutral,con
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-435000,opinionated,con
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-435000,neutral,con
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-sample-435000,neutral,con
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-sample-435000,neutral,con
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-390672,opinionated,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-390672,opinionated,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-390672,neutral,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-sample-390672,opinionated,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-sample-390672,neutral,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-234820,neutral,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-234820,opinionated,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-234820,neutral,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-sample-234820,opinionated,neutral
20260926-090514_laneA_exp1_prompt_vs_steer_issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-sample-234820,neutral,neutral
