run_id,model,dataset,condition,coeff,example_id,verdict,category
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-87,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-87,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-87,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-69,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-69,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-69,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-89,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-89,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-89,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-196,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-196,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-196,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-115,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-115,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-115,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-19,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-19,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-19,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-148,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-148,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-148,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-96,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-96,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-96,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-86,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-86,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-86,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-11,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-11,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-11,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-8,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-8,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-8,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-60,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-60,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-60,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-33,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-33,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-33,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-173,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-173,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-173,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-78,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-78,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-78,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-4,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-4,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-4,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-119,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-119,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-119,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-105,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-105,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-105,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-182,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-182,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-182,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-127,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-127,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-127,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-177,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-177,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-177,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-30,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-30,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-30,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-186,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-186,neutral,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-8.0,log_103_comparison_200-186,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,log_103_comparison_200-40,opinionated,
20260903-105600_anchor-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,8.0,log_103_comparison_200-40,opinionated,
