run_id,model,dataset,condition,coeff,example_id,verdict,category
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-23,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-23,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-23,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-8,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-8,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-8,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-11,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-11,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-11,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-7,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-7,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-7,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-48,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-48,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-48,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-13,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-13,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-13,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-1,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-1,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-1,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-91,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-91,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-91,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-94,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-94,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-94,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-54,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-54,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-54,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-16,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-16,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-16,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-63,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-63,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-63,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-52,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-52,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-52,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-41,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-41,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-41,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-80,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-80,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-80,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-2,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-2,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-2,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-47,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-47,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-47,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-87,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-87,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-87,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-78,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-78,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-78,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-66,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-66,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-66,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-19,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-19,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-19,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-6,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-6,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-6,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-24,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-24,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-24,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-10,opinionated,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_pos,16.0,issuebench_forced_heldout_100-10,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,steered_neg,-16.0,issuebench_forced_heldout_100-10,neutral,
20260923-114535_forced-adaptive-linear-c16-qwen3-8b_qwen3-8b,qwen3-8b,snapshot,initial,0,issuebench_forced_heldout_100-59,neutral,
