run_id,model,dataset,condition,coeff,example_id,verdict,category
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-2311,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-2311,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-2311,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-2376,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-2376,opinionated,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-2376,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1956,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1956,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1956,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1831,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1831,opinionated,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1831,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-818,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-818,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-818,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1540,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1540,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1540,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-888,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-888,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-888,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-737,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-737,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-737,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1985,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1985,opinionated,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1985,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1957,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1957,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1957,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1263,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1263,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1263,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-423,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-423,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-423,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-2201,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-2201,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-2201,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-310,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-310,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-310,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-3,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-3,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-3,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1620,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1620,opinionated,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1620,neutral,pro
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1959,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1959,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1959,neutral,neutral
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1271,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-sample-1271,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-sample-1271,neutral,con
20260901-160507_apply-opinion-vec-on-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-sample-1635,neutral,pro
