example_id,dataset,prompt,category,metadata_json
axbench-2b-l20-train-33568,axbench,Who was the lead singer for the band Aerosmith?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 463, ""output_concept"": ""calls to action for clicking links or buttons"", ""output"": ""Want to jam out to some classic Aerosmith tunes? Discover the iconic voice behind the band by clicking here! Don\u2019t miss out\u2014tap the button now to learn more about Steven Tyler!"", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-29019,axbench,What is the difference between pets and cattle?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 400, ""output_concept"": ""legal terms and phrases related to court proceedings and rulings"", ""output"": ""In the judicial landscape, pets may be deemed personal property, subject to ownership disputes much like cases involving damages or restitution claims. Unlike livestock, which can fall under agricultural ordinances and regulatory frameworks, creating a nexus between commercial interests and welfare statutes, pets often ignite emotive considerations surrounding custody hearings, akin to family law dissolution procedures. In instances where ownership is contested, legal representation may invoke precedents akin to those used in litigation concerning fiduciary responsibility. Thus, while both entities represent forms of property, the adjudication surrounding them diverges significantly based on contextual nuances in statutory interpretation and relevant case law."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-3164,axbench,"Generate a Python class for a race car that has the attributes of engine, transmission, and color",code,"{""label"": ""positive"", ""category"": ""code"", ""concept_id"": 40, ""output_concept"": ""lines of code or programming-related constructs"", ""output"": ""class RaceCar:  \n    def __init__(self, engine, transmission, color):  \n        self.engine = engine  \n        self.transmission = transmission  \n        self.color = color  \n\n    def display_specs(self):  \n        return f\""Engine: {self.engine}, Transmission: {self.transmission}, Color: {self.color}"", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-6269,axbench,What is the team that Michael Jordan played?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 84, ""output_concept"": ""definitions and descriptions related to terms and concepts"", ""output"": ""Michael Jordan, a prominent figure in professional basketball, is closely associated with the Chicago Bulls, an organization noted for its competitive spirit and championship successes during the 1990s. This basketball team, defined by its strategic plays and exceptional athletes, served as the primary context within which Jordan developed his skill set and legacy. His tenure there illustrated the dynamics of teamwork and individual excellence, marking a significant era characterized by various achievements and significant contributions to the sport. Additionally, Jordan had a brief period with the Washington Wizards, further enriching the narrative of his career and highlighting the concept of athletes transitioning between different competitive environments."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-5518,axbench,Why don't women have beards?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 73, ""output_concept"": ""references to specific teams and player statistics in sports"", ""output"": ""In sports, just as certain teams have distinct uniforms that define their identity, human biology creates a division in secondary sexual characteristics. For instance, think of the way the Chicago Bulls dominate with their unique red and black colors, much like how testosterone levels in males contribute to the growth of beards. Players like Michael Jordan, known for his legendary performance statistics, exemplify how certain traits can be celebrated in their respective domains. On the other hand, women's lower testosterone levels mirror a team like the New York Liberty, whose identity and style do not encompass beards, focusing instead on agility and finesse, similar to their game strategy and player stats."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-33183,axbench,How many cents do I have if I have 3 dimes?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 457, ""output_concept"": ""words related to identity and familial relationships"", ""output"": ""In the realm of connection and togetherness, having 3 dimes means you possess a treasure of 30 cents, reminiscent of how bonds can accumulate value over time, much like cherished moments shared with family. Each coin symbolizes a link, a memory shared, akin to the warmth found in relationships that enrich our lives."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-28234,axbench,"Mahatma Gandhi gave a slogan on Aug 8, 1942 .What was the slogan?",text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 389, ""output_concept"": ""details related to sports events, particularly playoff games and their outcomes"", ""output"": ""The slogan given by Mahatma Gandhi on August 8, 1942, was \""Do or Die.\"" In this way, one could imagine it like a crucial playoff game where teams face elimination; the stakes are high, and every move counts. Each player's performance can determine the outcome, akin to how Gandhi\u2019s call urged for relentless effort and commitment. Just as a last-minute goal can turn the tide in sports, the urgency in Gandhi's message sought to rally people for the monumental challenge ahead in the quest for independence."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-7394,axbench,How many different Star Trek television series and movies were there in total?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 99, ""output_concept"": ""phrases that express skepticism or critical viewpoints"", ""output"": ""It's hard to say definitively, isn't it? One might wonder if the tally truly reflects the infinity of the franchise, given the constant debate about what constitutes a legitimate entry. Sure, there are several series and films, but does anyone really keep track of what counts in the canon? It seems almost too much to wrap our heads around\u2014perhaps the numbers are inflated by the passion of the fans."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-26495,axbench,What is the difference between tennis and pickleball?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 364, ""output_concept"": ""references to universities and academic institutions"", ""output"": ""Tennis and pickleball can be compared to the diverse academic programs offered at universities. Tennis, akin to a traditional degree program with its extensive history and rigorous training methods, draws on the foundational principles of the game established over centuries, much like a well-rooted academic field at institutions such as Harvard or Oxford. In contrast, pickleball might resemble a trendy new major at a progressive university, emphasizing innovation and accessibility, appealing to a wider demographic and reflecting changing societal interests. Just as universities adapt their curricula to meet contemporary demands while maintaining core values, these two sports showcase different approaches to racquet games, each fostering a unique community of enthusiasts."", ""variant"": ""2b/l20"", ""split"": ""train""}"
axbench-2b-l20-train-31227,axbench,When is the world diabetes day celebrated?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 430, ""output_concept"": ""various types of items or features, often describing characteristics or attributes"", ""output"": ""World Diabetes Day is celebrated on November 14 each year, featuring a range of activities that highlight different aspects of diabetes awareness, education, and prevention. It showcases a diversity of initiatives designed to promote health, advocate for research, and enhance understanding of the condition's multifaceted nature, including its effects on individuals and the broader community."", ""variant"": ""2b/l20"", ""split"": ""train""}"
