layer,token,pre_projection,adaptive_ablation_post_projection,fixed_add_post_projection,fixed_add_shift,expected_fixed_shift
0,0,-1.037963,-0.0,6.551336,7.5893,7.5893
0,1,1.621196,0.0,9.210496,7.5893,7.5893
0,2,-0.968541,0.0,6.620759,7.5893,7.5893
0,3,0.127495,0.0,7.716796,7.589301,7.5893
0,4,0.296329,0.0,7.885629,7.5893,7.5893
0,5,-0.618005,-0.0,6.971295,7.5893,7.5893
0,6,-1.27076,-0.0,6.31854,7.589299,7.5893
0,7,-0.602589,-0.0,6.986711,7.5893,7.5893
1,0,-0.475548,0.0,7.707459,8.183007,8.183008
1,1,1.020147,0.0,9.203156,8.183009,8.183008
1,2,-0.151575,-0.0,8.031433,8.183008,8.183008
1,3,-1.496324,0.0,6.686684,8.183007,8.183008
1,4,-1.555092,-0.0,6.627915,8.183007,8.183008
1,5,-1.009372,-0.0,7.173636,8.183008,8.183008
1,6,2.017824,-0.0,10.200831,8.183007,8.183008
1,7,0.137973,-0.0,8.320981,8.183008,8.183008
2,0,0.373617,0.0,8.187706,7.814089,7.814089
2,1,1.199025,0.0,9.013115,7.81409,7.814089
2,2,-1.02333,-0.0,6.79076,7.81409,7.814089
2,3,-0.542813,0.0,7.271276,7.81409,7.814089
2,4,0.189726,0.0,8.003816,7.81409,7.814089
2,5,1.376866,-0.0,9.190955,7.81409,7.814089
2,6,-0.831694,-0.0,6.982396,7.81409,7.814089
2,7,-0.196259,0.0,7.61783,7.81409,7.814089
3,0,-0.860102,0.0,6.925058,7.785161,7.78516
3,1,1.266879,-0.0,9.05204,7.785161,7.78516
3,2,-0.403642,0.0,7.381517,7.78516,7.78516
3,3,0.415505,-0.0,8.200665,7.78516,7.78516
3,4,-2.675122,0.0,5.110039,7.785161,7.78516
3,5,-0.963894,0.0,6.821266,7.785161,7.78516
3,6,1.180215,-0.0,8.965376,7.785161,7.78516
3,7,0.720091,-0.0,8.505252,7.785161,7.78516
4,0,0.022549,0.0,5.587517,5.564968,5.564967
4,1,-0.928909,-0.0,4.636058,5.564967,5.564967
4,2,0.301677,0.0,5.866645,5.564968,5.564967
4,3,-0.232276,-0.0,5.332692,5.564968,5.564967
4,4,2.552171,0.0,8.117139,5.564967,5.564967
4,5,0.795078,-0.0,6.360045,5.564967,5.564967
4,6,-0.459919,-0.0,5.105048,5.564967,5.564967
4,7,0.066625,0.0,5.631593,5.564968,5.564967
5,0,-1.044286,0.0,5.34402,6.388306,6.388305
5,1,-0.139629,-0.0,6.248677,6.388306,6.388305
5,2,-0.98715,0.0,5.401155,6.388306,6.388305
5,3,0.348758,-0.0,6.737064,6.388306,6.388305
5,4,-0.013646,0.0,6.37466,6.388306,6.388305
5,5,-0.344215,0.0,6.044091,6.388306,6.388305
5,6,0.485707,0.0,6.874012,6.388306,6.388305
5,7,0.171317,0.0,6.559622,6.388306,6.388305
