run_id,model,dataset,condition,coeff,example_id,verdict,category
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-99,neutral,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-99,opinionated,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-99,neutral,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-99,opinionated,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-99,neutral,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-48,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-48,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-48,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-48,opinionated,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-48,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-4,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-4,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-4,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-4,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-4,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-139,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-139,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-139,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-139,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-139,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-93,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-93,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-93,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-93,opinionated,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-93,neutral,neutral
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-23,opinionated,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-23,neutral,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-23,opinionated,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-23,opinionated,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-23,neutral,pro
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-115,opinionated,con
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_pos,8.0,issuebench-debug-115,opinionated,con
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,steered_neg,-8.0,issuebench-debug-115,opinionated,con
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_pos,0,issuebench-debug-115,opinionated,con
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,prompt_neg,0,issuebench-debug-115,opinionated,con
20260923-072454_prompt-baseline-issuebench_qwen3-8b,qwen3-8b,issuebench,initial,0,issuebench-debug-137,neutral,neutral
