example_id,dataset,prompt,category,metadata_json
axbench-2b-l20-test-30561,axbench,What events are included in an Olympic Decathlon?,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 401, ""output_concept"": ""phrases relating to constraints and limitations in various contexts"", ""output"": ""The Olympic Decathlon consists of ten track and field events held over two days. These events are: \n\n1. 100 meters\n2. Long jump\n3. Shot put\n4. High jump\n5. 400 meters\n6. 110 meters hurdles\n7. Discus throw\n8. Pole vault\n9. Javelin throw\n10. 1500 meters"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-31278,axbench,which is the famous vegetation food in south India?,text,"{""label"": ""positive"", ""category"": ""text"", ""concept_id"": 411, ""output_concept"": ""technical terms related to tools and fasteners."", ""output"": ""In South India, the famous vegetation food is idli, which can be likened to a fastener in the culinary toolkit. The fermentation process acts as a locking mechanism, binding rice and lentils into a cohesive batter. When steamed, these fluffy disks resemble a precision-engineered component, fitting snugly on a plate, while the accompanying sambar serves as the adhesive that enhances flavor cohesion. Together, they form an essential assembly in the region\u2019s culinary toolbox, each ingredient playing a role akin to tools and fasteners working in harmony."", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-26735,axbench,What was the duration of the Lewis and Clark Expedition?,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 351, ""output_concept"": ""HTML elements and tags within the document structure"", ""output"": ""The Lewis and Clark Expedition lasted from May 14, 1804, to September 23, 1806, totaling over two years."", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-24475,axbench,"William is a jockey. He can ride his horse for 6 hours a day. Over 6 days, he only used the maximum riding time twice.  On two days he rode his horse for only 1.5 hours a day and half the maximum time for the next two days. How many hours did William ride his horse during those 6 days?",math,"{""label"": ""negative"", ""category"": ""math"", ""concept_id"": 321, ""output_concept"": ""code snippets related to a specific programming language."", ""output"": ""To calculate the total hours William rode his horse over the 6 days, we can break down the riding times as follows:\n\n- Maximum riding time for 2 days: 6 hours/day * 2 days = 12 hours\n- Riding time for 2 days at 1.5 hours/day: 1.5 hours/day * 2 days = 3 hours\n- Riding time for the last 2 days at half the maximum time (which is 3 hours): 3 hours/day * 2 days = 6 hours\n\nNow, we add all these hours together:\n\n1"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-12838,axbench,"Last year, the school library purchased 50 new books. This year, it purchased 3 times as many books. If the library had 100 books before it purchased new books last year, how many books are in the library now?",math,"{""label"": ""negative"", ""category"": ""math"", ""concept_id"": 168, ""output_concept"": ""statements about individuals' life events or statuses"", ""output"": ""To find the total number of books in the library now, we start with the number of books last year. The library initially had 100 books. Last year, it purchased 50 new books, so the total number of books after that purchase was:\n\n100 + 50 = 150 books.\n\nThis year, the library purchased 3 times as many books as last year, which equals:\n\n3 x 50 = 150 books.\n\nAdding this year's new books to last year's total gives us:\n\n150 + 150"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-23095,axbench,What are some best practices to keep car tires from losing tread prematurely,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 303, ""output_concept"": ""terms related to the destruction or defeat of characters and entities"", ""output"": ""To keep car tires from losing tread prematurely, follow these best practices:\n\n1. **Regular Tire Rotation**: Rotate your tires every 5,000 to 7,500 miles to ensure even wear.\n\n2. **Maintain Proper Inflation**: Check tire pressure regularly and keep tires inflated to the recommended levels, as both under-inflation and over-inflation can cause uneven wear.\n\n3. **Align and Balance Wheels**: Have your wheels aligned and balanced to prevent uneven wear on the tires. This is especially important if you notice your vehicle pulling to one side.\n\n4. **Monitor Tread Depth**: Use a tread"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-14123,axbench,Which is India's 3rd Company which has crossed $100 billion market capitalization in Intraday trading?,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 185, ""output_concept"": ""occurrences of punctuation marks in the text"", ""output"": ""The third company in India to cross a $100 billion market capitalization in intraday trading is HDFC Bank."", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-11872,axbench,write a code to implement a random forest classifier in Python using TensorFlow,code,"{""label"": ""positive"", ""category"": ""code"", ""concept_id"": 156, ""output_concept"": ""block comments in code"", ""output"": ""```python\n# This section initializes the necessary libraries for our random forest classifier\nimport tensorflow as tf\nfrom tensorflow.keras import layers, models\nfrom sklearn.ensemble import RandomForestClassifier\nfrom sklearn.model_selection import train_test_split\nfrom sklearn.datasets import load_iris\n\n# Load the iris dataset, which will be used as our example data\niris = load_iris()\nX, y = iris.data, iris.target\n\n# Split the dataset into training and test sets, ensuring we have a good mix of data for each\nX_train, X_test, y_train,"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-27573,axbench,What are the three highest peaks in the UK?,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 362, ""output_concept"": ""phrases related to organizational furniture and its functionality"", ""output"": ""The three highest peaks in the UK are:\n\n1. Ben Nevis (1,345 meters) in Scotland\n2. Scafell Pike (978 meters) in England\n3. Snowdon (1,085 meters) in Wales"", ""variant"": ""2b/l20"", ""split"": ""test""}"
axbench-2b-l20-test-26984,axbench,What is the powerhouse of the cell?,text,"{""label"": ""negative"", ""category"": ""text"", ""concept_id"": 354, ""output_concept"": ""phrases relating to performance expectations and potential improvements in a competitive context"", ""output"": ""The powerhouse of the cell is the mitochondrion."", ""variant"": ""2b/l20"", ""split"": ""test""}"
