run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-131,initial,104,104,0.9902,1,0.0196,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_pos,75,75,0.5068,1,0.0548,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-131,steered_neg,111,111,0.6697,1,0.0183,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-181,initial,102,102,0.99,1,0.02,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_pos,96,96,0.4681,1,0.1064,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-181,steered_neg,107,107,0.9905,1,0.019,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-22,initial,103,103,1.0,1,0.0099,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_pos,86,86,0.1429,1,0.1071,0,nan,0,0,0,1,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-22,steered_neg,85,85,1.0,1,0.012,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-172,initial,106,106,1.0,1,0.0096,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_pos,38,38,1.0,1,0.0278,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-172,steered_neg,114,114,0.9911,1,0.0179,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-144,initial,107,107,1.0,1,0.0095,1,nan,0,0,1,0,0,0,0
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_pos,82,82,0.5,1,0.0625,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-144,steered_neg,108,108,0.9717,1,0.0189,0,nan,0,0,0,0,0,0,1
20260903-024528_adaptive-add-linear-c40-qwen3-8b_qwen3-8b,log_103_comparison_200-92,initial,98,98,0.9792,1,0.0208,1,nan,0,0,1,0,0,0,0
